,ID,name,address,rating,rating_number,price_level,lat,lng,open,Sun_open,Sun_close,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thur_open,Thur_close,Fri_open,Fri_close,Sat_open,Sat_close,url,wifi,time_limit,outlet,nearest_bus,bus_distance,nearest_station,station_distance
67,ChIJJTBNPgCrQjQR4GMq-JXga_0,城南咖啡 手沖專門店,"110, Taiwan, Taipei City, Xinyi District, Xinren Village, Alley 6, Lane 553, Section 4, Zhongxiao E Rd, 14-1號1樓",4.9,60,,25.0421892,121.5634449,True,11:00:00,18:30:00,11:00:00,18:30:00,,,11:00:00,18:30:00,11:00:00,18:30:00,11:00:00,18:30:00,11:00:00,18:30:00,https://maps.google.com/?cid=18260936048822084576,,,,聯合報,107.03794421857529,市政府,292.5628721331272
68,ChIJYX-jZtOrQjQRRvmf0BsWCdM,Café Kitsuné BELLAVITA,"110, Taiwan, Taipei City, Xinyi District, Xingya Village, Songren Rd, 28號2 樓",4.5,618,,25.0397979,121.5674743,True,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,22:00:00,11:00:00,22:00:00,https://maps.google.com/?cid=15206709925513263430,,,,消防局(松仁),88.43759790294374,市政府,202.38428037886325
69,ChIJ1UgRne-rQjQRfmPwOdhPK0Q,CURISTA COFFEE Taipei City Hall Shop,"110, Taiwan, Taipei City, Xinyi District, Xinren Village, Section 4, Zhongxiao E Rd, 563號1樓",4.6,1810,2.0,25.0415889,121.56405,True,07:30:00,20:00:00,07:30:00,20:00:00,07:30:00,20:00:00,07:30:00,20:00:00,07:30:00,20:00:00,07:30:00,20:00:00,07:30:00,20:00:00,https://maps.google.com/?cid=4912107608681243518,,yes,yes,聯合報,109.74040782957744,市政府,213.05768270411835
70,ChIJnzS1TEurQjQRigcsV0RpA8U,Coffee by U x SACHI CAFÉ,"110, Taiwan, Taipei City, Xinyi District, Xinren Village, Lane 553, Section 4, Zhongxiao E Rd, 42-1號1樓",4.8,116,,25.044065,121.562883,True,10:30:00,19:00:00,10:30:00,19:00:00,,,10:30:00,19:00:00,10:30:00,19:00:00,10:30:00,19:00:00,10:30:00,19:00:00,https://maps.google.com/?cid=14196306192643131274,,,,聯合報,298.87394012327246,鐵博西站,227.38865584563138
71,ChIJuwSAUgKrQjQRcoehOnVjvHo,根本在旅行-信義品牌概念店,"No. 4-1號, Alley 22, Lane 553, Section 4, Zhongxiao E Rd, Xinren Village, Xinyi District, Taipei City, Taiwan 110",4.7,384,,25.0431582,121.5631859,True,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,10:00:00,21:00:00,10:00:00,21:00:00,https://maps.google.com/?cid=8844053123394799474,,,,聯合報,205.61613549292085,鐵博西站,332.0987814483166
72,ChIJg6l8xZCrQjQRlSUFh9bJdZ8,CuppaCuppa Cafe,"No. 14號, Lane 559, Section 4, Zhongxiao E Rd, Xinren Village, Xinyi District, Taipei City, Taiwan 110",4.9,400,,25.0421521,121.5637398,True,09:00:00,17:00:00,07:30:00,17:30:00,07:30:00,17:30:00,07:30:00,17:30:00,07:30:00,17:30:00,07:30:00,17:30:00,09:00:00,17:00:00,https://maps.google.com/?cid=11490311947531134357,,,,聯合報,119.12140983375768,市政府,263.7856682036784
73,ChIJwZpX2-arQjQRucgFA5icKqA,旅人日誌咖啡-信義店,"110, Taiwan, Taipei City, Xinyi District, Zhongxing Village, 信義路四段391號1樓",4.7,141,,25.0332999,121.558381,True,10:00:00,18:00:00,10:00:00,18:30:00,10:00:00,18:30:00,10:00:00,18:30:00,10:00:00,18:30:00,10:00:00,18:30:00,10:00:00,18:00:00,https://maps.google.com/?cid=11541209171789990073,,,yes,信義光復路口,63.44904899731343,台北101/世貿,411.7149248961083
74,ChIJRUfS6sarQjQRlmyqTMr0KPg,立良COFFEE: STAND UP (不適合用電腦/不接4人以上）,"110, Taiwan, Taipei City, Xinyi District, Yaxiang Village, 永吉路61號",4.6,453,1.0,25.0459335,121.5690651,True,11:00:00,17:30:00,11:00:00,19:30:00,11:00:00,19:30:00,,,12:00:00,19:30:00,11:00:00,19:30:00,11:00:00,17:30:00,https://maps.google.com/?cid=17881811470181362838,,yes,yes,興雅國小,67.5797313819031,鐵博東站,501.6811079223481
75,ChIJV-5wyASrQjQRJrUM3cE9X9o,kafeD Taipei 101 Shop,"110615, Taiwan, Taipei City, Xinyi District, 信義區 Section 5, Xinyi Rd, 7號89樓",4.5,506,,25.0337938,121.5648629,True,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,https://maps.google.com/?cid=15735363525902382374,,yes,,101國際購物中心,72.3654893310293,台北101/世貿,260.13481056070987
77,ChIJCdBOMP6rQjQRPExzFfbBQ9k,Fika Fika Cafe A13,"110, Taiwan, Taipei City, Xinyi District, Xicun Village, Songren Rd, 58號 號B3",4.3,808,,25.0368519,121.5677823,True,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,22:00:00,11:00:00,22:00:00,https://maps.google.com/?cid=15655569992335969340,,,,興雅國中,64.05326597994481,象山,484.287480771155
